data_type,metric,comparison_type,encoding,method1,method2,p_value,p_value_bonferroni,winner,mean_method1,mean_method2,significant,significant_bonferroni
CHANGEseq,pearson_after_inv_trans,Encoding_catboost,Multiple,LabelEncodingPairwise,MM,2.695270394376686e-18,7.54675710425472e-17,LabelEncodingPairwise,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_catboost,Multiple,bulges,MM,1.9900480071212017e-19,5.572134419939365e-18,bulges,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_decision_tree,Multiple,NPM,OneHot,0.000244140625,0.0068359375,OneHot,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_decision_tree,Multiple,NPM,OneHot5Channel,0.17535400390625,1.0,No diff,,,False,False
CHANGEseq,pearson_after_inv_trans,Encoding_decision_tree,Multiple,NPM,OneHotVstack,0.5660676956176758,1.0,No diff,,,False,False
CHANGEseq,pearson_after_inv_trans,Encoding_decision_tree,Multiple,NPM,kmer,0.00028705596923828125,0.008037567138671875,kmer,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_decision_tree,Multiple,NPM,LabelEncodingPairwise,5.960464477539062e-07,1.6689300537109375e-05,LabelEncodingPairwise,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_decision_tree,Multiple,NPM,bulges,0.0289306640625,0.81005859375,bulges,,,True,False
CHANGEseq,pearson_after_inv_trans,Encoding_decision_tree,Multiple,NPM,MM,0.0001398921012878418,0.00391697883605957,MM,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_decision_tree,Multiple,OneHot,OneHot5Channel,0.024712023870961275,0.6919366683869157,OneHot,,,True,False
CHANGEseq,pearson_after_inv_trans,Encoding_decision_tree,Multiple,OneHot,OneHotVstack,0.1899040937423706,1.0,No diff,,,False,False
CHANGEseq,pearson_after_inv_trans,Encoding_decision_tree,Multiple,OneHot,kmer,0.20081801494050444,1.0,No diff,,,False,False
CHANGEseq,pearson_after_inv_trans,Encoding_decision_tree,Multiple,OneHot,LabelEncodingPairwise,1.9419829566621737e-05,0.0005437552278654087,LabelEncodingPairwise,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_decision_tree,Multiple,OneHot,bulges,0.09002415090799332,1.0,No diff,,,False,False
CHANGEseq,pearson_after_inv_trans,Encoding_decision_tree,Multiple,OneHot,MM,0.11204430781459418,1.0,No diff,,,False,False
CHANGEseq,pearson_after_inv_trans,Encoding_decision_tree,Multiple,OneHot5Channel,OneHotVstack,5.845885789312888e-05,0.0016368480210076086,OneHotVstack,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_decision_tree,Multiple,OneHot5Channel,kmer,0.0013870877832685355,0.038838457931518994,kmer,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_decision_tree,Multiple,OneHot5Channel,LabelEncodingPairwise,2.312984610111815e-13,6.4763569083130815e-12,LabelEncodingPairwise,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_decision_tree,Multiple,OneHot5Channel,bulges,0.00041403656359761953,0.011593023780733347,bulges,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_decision_tree,Multiple,OneHot5Channel,MM,7.295706556932911e-06,0.0002042797835941215,MM,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_decision_tree,Multiple,OneHotVstack,kmer,0.4280473482759819,1.0,No diff,,,False,False
CHANGEseq,pearson_after_inv_trans,Encoding_decision_tree,Multiple,OneHotVstack,LabelEncodingPairwise,2.3900953516978203e-11,6.692266984753897e-10,LabelEncodingPairwise,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_decision_tree,Multiple,OneHotVstack,bulges,0.19807579927146435,1.0,No diff,,,False,False
CHANGEseq,pearson_after_inv_trans,Encoding_decision_tree,Multiple,OneHotVstack,MM,0.0002746307534656576,0.0076896610970384124,MM,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_decision_tree,Multiple,kmer,LabelEncodingPairwise,4.0420178442362593e-14,1.1317649963861526e-12,LabelEncodingPairwise,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_decision_tree,Multiple,kmer,bulges,0.18972400736088346,1.0,No diff,,,False,False
CHANGEseq,pearson_after_inv_trans,Encoding_decision_tree,Multiple,kmer,MM,0.009038992828681385,0.2530917992030788,MM,,,True,False
CHANGEseq,pearson_after_inv_trans,Encoding_decision_tree,Multiple,LabelEncodingPairwise,bulges,1.823834414422104e-06,5.106736360381891e-05,LabelEncodingPairwise,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_decision_tree,Multiple,LabelEncodingPairwise,MM,2.1635618681695108e-16,6.05797323087463e-15,LabelEncodingPairwise,,,True,True
CHANGEseq,pearson_after_inv_trans,Encoding_decision_tree,Multiple,bulges,MM,0.001149314096191084,0.03218079469335035,MM,,,True,True
CHANGEseq,spearman_after_inv_trans,Backend_pairwise,NPM,XGBoost,CatBoost,5.693229587118446e-15,1.707968876135534e-14,CatBoost,0.11515417094440898,0.11993323304399506,True,True
CHANGEseq,spearman_after_inv_trans,Backend_pairwise,NPM,XGBoost,DecisionTree,1.4901161193847656e-06,4.470348358154297e-06,XGBoost,0.11515417094440898,0.02015491220947052,True,True
CHANGEseq,spearman_after_inv_trans,Backend_pairwise,NPM,CatBoost,DecisionTree,1.4901161193847656e-06,4.470348358154297e-06,CatBoost,0.11993323304399506,0.02015491220947052,True,True
CHANGEseq,spearman_after_inv_trans,Backend_pairwise,OneHot,XGBoost,CatBoost,4.2922837657346513e-19,1.2876851297203954e-18,CatBoost,0.08845602969801757,0.11512493026593913,True,True
CHANGEseq,spearman_after_inv_trans,Backend_pairwise,OneHot,XGBoost,DecisionTree,2.5356201184257893e-06,7.606860355277368e-06,XGBoost,0.08845602969801757,0.037052470450853706,True,True
CHANGEseq,spearman_after_inv_trans,Backend_pairwise,OneHot,CatBoost,DecisionTree,1.1683486049300831e-07,3.5050458147902494e-07,CatBoost,0.11512493026593913,0.037052470450853706,True,True
CHANGEseq,spearman_after_inv_trans,Backend_pairwise,OneHot5Channel,XGBoost,CatBoost,2.9252331831645265e-19,8.77569954949358e-19,CatBoost,0.0938958848300309,0.11622151047243022,True,True
CHANGEseq,spearman_after_inv_trans,Backend_pairwise,OneHot5Channel,XGBoost,DecisionTree,2.357974694989738e-12,7.0739240849692144e-12,XGBoost,0.0938958848300309,0.0031961014090171806,True,True
