data_type,metric,comparison_type,encoding,method1,method2,p_value,p_value_bonferroni,winner,mean_method1,mean_method2,significant,significant_bonferroni
CHANGEseq,aupr,Encoding_catboost,Multiple,OneHot5Channel,LabelEncodingPairwise,9.647510422324582e-16,2.7013029182508827e-14,OneHot5Channel,,,True,True
CHANGEseq,aupr,Encoding_catboost,Multiple,OneHot5Channel,bulges,2.2556076519472188e-11,6.315701425452212e-10,bulges,,,True,True
CHANGEseq,aupr,Encoding_catboost,Multiple,OneHot5Channel,MM,1.9217005532651122e-19,5.3807615491423145e-18,OneHot5Channel,,,True,True
CHANGEseq,aupr,Encoding_catboost,Multiple,OneHotVstack,kmer,1.8686821759772635e-19,5.232310092736338e-18,OneHotVstack,,,True,True
CHANGEseq,aupr,Encoding_catboost,Multiple,OneHotVstack,LabelEncodingPairwise,0.013683750380725841,0.3831450106603236,OneHotVstack,,,True,False
CHANGEseq,aupr,Encoding_catboost,Multiple,OneHotVstack,bulges,1.9073413355282342e-14,5.340555739479055e-13,bulges,,,True,True
CHANGEseq,aupr,Encoding_catboost,Multiple,OneHotVstack,MM,1.8686821759772635e-19,5.232310092736338e-18,OneHotVstack,,,True,True
CHANGEseq,aupr,Encoding_catboost,Multiple,kmer,LabelEncodingPairwise,1.7553764604826477e-17,4.915054089351413e-16,LabelEncodingPairwise,,,True,True
CHANGEseq,aupr,Encoding_catboost,Multiple,kmer,bulges,1.8686821759772635e-19,5.232310092736338e-18,bulges,,,True,True
CHANGEseq,aupr,Encoding_catboost,Multiple,kmer,MM,0.36651720620030326,1.0,No diff,,,False,False
CHANGEseq,aupr,Encoding_catboost,Multiple,LabelEncodingPairwise,bulges,1.2262169219175048e-18,3.4334073813690135e-17,bulges,,,True,True
CHANGEseq,aupr,Encoding_catboost,Multiple,LabelEncodingPairwise,MM,9.364929995935585e-18,2.6221803988619637e-16,LabelEncodingPairwise,,,True,True
CHANGEseq,aupr,Encoding_catboost,Multiple,bulges,MM,1.8686821759772635e-19,5.232310092736338e-18,bulges,,,True,True
CHANGEseq,aupr,Encoding_decision_tree,Multiple,NPM,OneHot,0.0003241848877807555,0.009077176857861155,OneHot,,,True,True
CHANGEseq,aupr,Encoding_decision_tree,Multiple,NPM,OneHot5Channel,0.00016429462809814895,0.004600249586748171,OneHot5Channel,,,True,True
CHANGEseq,aupr,Encoding_decision_tree,Multiple,NPM,OneHotVstack,2.5555281500960848e-11,7.155478820269038e-10,OneHotVstack,,,True,True
CHANGEseq,aupr,Encoding_decision_tree,Multiple,NPM,kmer,2.9252331831645265e-19,8.190652912860675e-18,kmer,,,True,True
CHANGEseq,aupr,Encoding_decision_tree,Multiple,NPM,LabelEncodingPairwise,1.3514423764300188e-19,3.784038654004053e-18,LabelEncodingPairwise,,,True,True
CHANGEseq,aupr,Encoding_decision_tree,Multiple,NPM,bulges,0.5362324824045328,1.0,No diff,,,False,False
CHANGEseq,aupr,Encoding_decision_tree,Multiple,NPM,MM,2.846008636356224e-19,7.968824181797428e-18,MM,,,True,True
CHANGEseq,aupr,Encoding_decision_tree,Multiple,OneHot,OneHot5Channel,0.7287011011664801,1.0,No diff,,,False,False
CHANGEseq,aupr,Encoding_decision_tree,Multiple,OneHot,OneHotVstack,0.0001624410119298653,0.004548348334036229,OneHot,,,True,True
CHANGEseq,aupr,Encoding_decision_tree,Multiple,OneHot,kmer,5.083641721387602e-07,1.4234196819885286e-05,kmer,,,True,True
CHANGEseq,aupr,Encoding_decision_tree,Multiple,OneHot,LabelEncodingPairwise,2.4710409404094497e-09,6.918914633146458e-08,LabelEncodingPairwise,,,True,True
CHANGEseq,aupr,Encoding_decision_tree,Multiple,OneHot,bulges,0.00034481755711542495,0.009654891599231899,OneHot,,,True,True
CHANGEseq,aupr,Encoding_decision_tree,Multiple,OneHot,MM,7.207551350901873e-08,2.0181143782525243e-06,MM,,,True,True
CHANGEseq,aupr,Encoding_decision_tree,Multiple,OneHot5Channel,OneHotVstack,0.00020324199360524726,0.005690775820946924,OneHotVstack,,,True,True
CHANGEseq,aupr,Encoding_decision_tree,Multiple,OneHot5Channel,kmer,9.629662870891564e-15,2.696305603849638e-13,kmer,,,True,True
CHANGEseq,aupr,Encoding_decision_tree,Multiple,OneHot5Channel,LabelEncodingPairwise,5.673939847700534e-18,1.5887031573561494e-16,LabelEncodingPairwise,,,True,True
CHANGEseq,aupr,Encoding_decision_tree,Multiple,OneHot5Channel,bulges,1.4566472957384038e-06,4.078612428067531e-05,OneHot5Channel,,,True,True
CHANGEseq,aupr,Encoding_decision_tree,Multiple,OneHot5Channel,MM,5.831427199615334e-15,1.6327996158922935e-13,MM,,,True,True
CHANGEseq,aupr,Encoding_decision_tree,Multiple,OneHotVstack,kmer,2.0632075254234497e-08,5.776981071185659e-07,kmer,,,True,True
CHANGEseq,aupr,Encoding_decision_tree,Multiple,OneHotVstack,LabelEncodingPairwise,3.642616660210945e-19,1.0199326648590645e-17,LabelEncodingPairwise,,,True,True
CHANGEseq,aupr,Encoding_decision_tree,Multiple,OneHotVstack,bulges,2.1468993413084957e-13,6.0113181556637885e-12,OneHotVstack,,,True,True
CHANGEseq,aupr,Encoding_decision_tree,Multiple,OneHotVstack,MM,9.36651998060236e-12,2.622625594568661e-10,MM,,,True,True
CHANGEseq,aupr,Encoding_decision_tree,Multiple,kmer,LabelEncodingPairwise,6.300327075452421e-05,0.0017640915811266778,LabelEncodingPairwise,,,True,True
CHANGEseq,aupr,Encoding_decision_tree,Multiple,kmer,bulges,4.787696381087449e-19,1.3405549867044858e-17,kmer,,,True,True
CHANGEseq,aupr,Encoding_decision_tree,Multiple,kmer,MM,0.09189956156974068,1.0,No diff,,,False,False
CHANGEseq,aupr,Encoding_decision_tree,Multiple,LabelEncodingPairwise,bulges,1.2785723680814605e-19,3.5800026306280895e-18,LabelEncodingPairwise,,,True,True
